ID,Longitude,Latitude,Title,Date,Color
E7127,-71.0662065,42.3671284,"Other - Boston,MA - 2001-04-22",4/22/2001,yellow
E7128,-75.1837216,39.7857414,"Theft-Loss-Diversion - Mantua,NJ - 2001-02-27",2/27/2001,yellow
E7129,-86.8959617,41.6821215,"Materials Acquisition-Storage - Michigan City,IN - 2001-03-08",3/8/2001,yellow
E7199,-71.2343206,42.4226653,"Other - Lexington,MA - 2001-04-18",4/18/2001,orange
E7475,-71.0573849,42.3389006,"Arrest - Boston,MA - 2001-04-19",4/19/2001,yellow
E7860,-85.538541,30.7818584,"Homicide - Chipley,FL - 2006-11-00",2006-11-00,red
E7877,-112.0631064,33.6115136,"Homicide - Phoenix,AZ - 2001-05-12",5/12/2001,red
E7914,-83.472571,39.908255,"Homicide - London,OH - 1996-04-25",4/25/1996,red
E7996,-82.5127599,40.7950262,"Homicide - Mansfield,OH - 1992-06-26",6/26/1992,red
E8063,-88.987715,37.6612777,"Homicide - Marion,IL - 1999-05-18",5/18/1999,red
E6722,-82.3017728,29.6579549,"Arrest - Unknown City,FL - 2009-12-12",12/12/2009,yellow
E404,-94.5028463,37.0832668,"Facility-Infrastructure Attack - Joplin,MO - 2013-10-03",10/3/2013,red
E405,-94.5028463,37.0832668,"Facility-Infrastructure Attack - Joplin,MO - 2013-10-04",10/4/2013,red
E5879,-78.6046927,35.8209493,"Expressed-Implied Threat - Raleigh,NC - 1987-04-23",4/23/1987,orange
E5927,-93.7501789,32.5251516,"Expressed-Implied Threat - Shreveport,LA - 1987-04-20",4/20/1987,orange
E5928,-92.1193012,32.5093109,"Misrepresentation - Monroe,LA - 1987-04-06",4/6/1987,yellow
E5975,-97.092877,35.0077519,"Recruitment - Unknown City,OK - 1987-03-15",3/15/1987,orange
E6273,-86.1349019,40.2671941,"Weapons Acquisition-Storage - Unknown City,IN - 2001-03-30",3/30/2001,orange
E6423,-86.1349019,40.2671941,"Other - Unknown City,IN - 2001-04-07",4/7/2001,yellow
E7095,-71.0662065,42.3671284,"Other - Boston,MA - 2001-04-20",4/20/2001,yellow
E18181,-79.8912675,35.2145629,"Armed Assault - Unknown City,NC - 1987-00-00",1987-00-00,red
E18182,-86.3032443,32.3761399,"Assassination - Montgomery,AL - 1987-00-00",1987-00-00,red
E511,-117.25507,47.657162,"Hostage Taking (Barricade Incident) - Spokane,WA - 1984-01-30",1/30/1984,red
E529,-122.331306,47.610786,"Facility-Infrastructure Attack - Seattle,WA - 1984-03-16",3/16/1984,red
E566,-122.331306,47.610786,"Bombing-Explosion - Seattle,WA - 1984-04-22",4/22/1984,red
E5752,-122.3320708,47.6062095,"Surveillance-Reconnaissance - Seattle,WA - 1983-11-15",11/15/1983,orange
E582,-122.331306,47.610786,"Facility-Infrastructure Attack - Seattle,WA - 1984-04-23",4/23/1984,red
E5924,-122.60363,48.0901799,"Other - Greenbank,WA - 1984-12-03",12/3/1984,yellow
E5925,-111.8910474,40.7607793,"Other - Salt Lake City,UT - 1984-12-06",12/6/1984,yellow
E5972,-111.8910474,40.7607793,"Establish Residence - Salt Lake City,UT - 1984-12-09",12/9/1984,yellow
E5973,-86.80249,33.5206608,"Other - Birmingham,AL - 1984-12-15",12/15/1984,yellow
E5974,-113.0618931,37.6774769,"Other - Cedar City,UT - 1984-12-09",12/9/1984,yellow
E599,-116.214619,43.618518,"Bombing-Explosion - Boise,ID - 1984-04-29",4/29/1984,red
E6073,-113.0618931,37.6774769,"Establish Residence - Cedar City,UT - 1984-12-09",12/9/1984,yellow
E6075,-80.390871,27.6307506,"Other - Vero Beach,FL - 1984-12-10",12/10/1984,yellow
E6076,-113.0618931,37.6774769,"Materials Acquisition-Storage - Cedar City,UT - 1984-12-09",12/9/1984,orange
E6083,-91.8523711,36.7281154,"Weapons Acquisition-Storage - West Plains,MO - 1984-05-11",5/11/1984,orange
E6084,-80.2037467,27.1458349,"Other - Stuart,FL - 1984-12-09",12/9/1984,yellow
E6085,-80.2757622,27.4186644,"Misrepresentation - Fort Pierce,FL - 1984-12-19",12/19/1984,yellow
E6088,-80.3972736,27.6386434,"Misrepresentation - Vero Beach,FL - 1984-12-07",12/7/1984,yellow
E6089,-117.2434444,47.6575004,"Theft-Loss-Diversion - Spokane,WA - 1984-01-30",1/30/1984,orange
E6091,-122.6664251,38.29975,"Misrepresentation - Penngrove,CA - 1984-07-16",7/16/1984,orange
E6092,-94.485217,36.5456293,"Other - Noel,MO - 1984-08-21",8/21/1984,orange
E6093,-122.3662962,47.7287229,"Theft-Loss-Diversion - Seattle,WA - 1983-12-20",12/20/1983,orange
E6129,-120.7401386,47.7510741,"Theft-Loss-Diversion - Unknown City,WA - 1984-03-16",3/16/1984,orange
E6130,-122.4395026,47.9982761,"Establish Residence - Whidbey Island,WA - 1984-10-26",10/26/1984,yellow
E6131,-95.8900647,36.186809,"Other - Tulsa,OK - 1985-09-25",9/25/1985,yellow
E6132,-111.8910474,40.7607793,"Other - Salt Lake City,UT - 1984-12-06",12/6/1984,yellow
E6133,-123.2077831,39.1501709,"Theft-Loss-Diversion - Ukiah,CA - 1984-07-19",7/19/1984,orange
E6143,-122.4194155,37.7749295,"Theft-Loss-Diversion - San Francisco,CA - 1984-07-02",7/2/1984,orange
E6165,-123.2077831,39.1501709,"Surveillance-Reconnaissance - Ukiah,CA - 1984-07-07",7/7/1984,yellow
E6166,-119.4179324,36.778261,"Materials Acquisition-Storage - Unknown City,CA - 1984-07-14",7/14/1984,orange
E635,-104.948679,39.739265,"Assassination - Denver,CO - 1984-06-18",6/18/1984,red
E663,-123.207904,39.150935,"Facility-Infrastructure Attack - Ukiah,CA - 1984-07-19",7/19/1984,red
E733,-117.341687,47.657239,"Facility-Infrastructure Attack - Spokane,WA - 1983-10-28",10/28/1983,red
E18137,-122.3206747,47.6249584,"Bombing-Explosion - Seattle,WA - 1993-07-22",7/22/1993,red
E18138,-122.4518247,47.2534022,"Bombing-Explosion - Tacoma,WA - 1993-07-20",7/20/1993,red
E18156,-87.65,41.85,"Assassination - Chicago,IL - 2003-01-08",1/8/2003,red
E184,-87.681229,41.842602,"Armed Assault - Chicago,IL - 1999-07-02",7/2/1999,red
E185,-87.755679,42.02634,"Armed Assault - Skokie,IL - 1999-07-02",7/2/1999,red
E186,-87.831564,42.12972,"Armed Assault - Northbrook,IL - 1999-07-02",7/2/1999,red
E188,-88.952459,39.845845,"Armed Assault - Decatur,IL - 1999-07-03",7/3/1999,red
E189,-89.643604,39.801055,"Armed Assault - Springfield,IL - 1999-07-03",7/3/1999,red
E190,-86.509869,39.164021,"Armed Assault - Bloomington,IN - 1999-07-04",7/4/1999,red
E2923,-88.1086346,41.5164481,"Facility-Infrastructure Attack - Joliet,IL - 2007-06-17",6/17/2007,red
E5438,-88.1089775,41.5177034,"Expressed-Implied Threat - Joliet,IL - 2007-05-15",5/15/2007,yellow
E5444,-88.1101565,41.5228028,"Materials Acquisition-Storage - Joliet,IL - 2007-06-01",6/1/2007,orange
E5451,-88.108626,41.517332,"Other - Joliet,IL - 2007-06-16",6/16/2007,orange
E7868,-81.3964734,30.311908,"Homicide - Neptune Beach,FL - 1991-05-17",5/17/1991,red
E6086,-122.7140548,38.440429,"Misrepresentation - Santa Rosa,CA - 1984-07-18",7/18/1984,orange
E6090,-75.1652215,39.9525839,"Theft-Loss-Diversion - Philadelphia,PA - 1984-06-29",6/29/1984,yellow
E6104,-120.5058987,46.6020711,"Theft-Loss-Diversion - Yakima,WA - 1983-12-03",12/3/1983,yellow
E6142,-122.7276029,38.4641834,"Theft-Loss-Diversion - Santa Rosa,CA - 1984-07-15",7/15/1984,orange
E6167,-122.7140548,38.440429,"Materials Acquisition-Storage - Santa Rosa,CA - 1984-07-16",7/16/1984,orange
E6246,-122.7276021,38.4633277,"Other - Santa Rosa,CA - 1984-07-18",7/18/1984,yellow
E2908,-111.8902008,40.7668944,"Unarmed Assault - Salt Lake City,UT - 2002-12-31",12/31/2002,red
E2909,-111.8939785,40.760514,"Unarmed Assault - Salt Lake City,UT - 2003-03-15",3/15/2003,red
E5766,-111.8939785,40.760514,"Other - Salt Lake City,UT - 2003-03-15",3/15/2003,orange
E7323,-111.8902008,40.7668944,"Other - Salt Lake City,UT - 2002-12-31",12/31/2002,yellow
E7324,-111.8902008,40.7668944,"Other - Salt Lake City,UT - 2002-12-31",12/31/2002,orange
E18167,-92.699956,36.237852,"Assassination - Unknown City,AR - 1983-12-26",12/26/1983,red
E18168,-93.8135164,33.6145649,"Bombing-Explosion - Fulton,AR - 1983-11-02",11/2/1983,red
E18169,-86.5317363,39.1658522,"Facility-Infrastructure Attack - Bloomington,IN - 1983-08-15",8/15/1983,red
E18193,-93.3016221,37.2007387,"Facility-Infrastructure Attack - Springfield,MO - 1983-08-09",8/9/1983,red
E18194,-93.8135164,33.6145649,"Bombing-Explosion - Fulton,AR - 1983-11-15",11/15/1983,red
E495,-94.035794,33.43096,"Armed Assault - Texarkana,AR - 1983-11-11",11/11/1983,red
E691,-93.291564,37.208975,"Facility-Infrastructure Attack - Springfield,MO - 1983-08-09",8/9/1983,red
E707,-86.482511,39.163625,"Facility-Infrastructure Attack - Bloomington,IN - 1983-08-15",8/15/1983,red
E746,-93.813484,33.61441,"Bombing-Explosion - Fulton,AR - 1983-11-02",11/2/1983,red
E6087,-122.7559214,45.4274305,"Weapons Acquisition-Storage - Tigard,OR - 1984-06-18",6/18/1984,yellow
E7198,-122.3320708,47.6062095,"Theft-Loss-Diversion - Seattle,WA - 1984-04-23",4/23/1984,orange
E666,-116.757971,47.765793,"Bombing-Explosion - Hayden Lake,ID - 1986-03-06",3/6/1986,red
E717,-116.792062,47.744503,"Bombing-Explosion - Hayden,ID - 1986-08-07",8/7/1986,red
E719,-116.776166,47.677755,"Bombing-Explosion - Coeur D&#039;Alene,ID - 1986-09-16",9/16/1986,red
E18538,-122.3211897,47.6144057,"Bombing-Explosion - Seattle,WA - 1990-05-12",5/12/1990,red
E18539,-122.4442906,47.2528768,"Bombing-Explosion - Tacoma,WA - 1990-05-12",5/12/1990,red
E195,-118.4939894,34.2798575,"Armed Assault - Granada Hills,CA - 1999-08-10",8/10/1999,red
E589,-113.996234,46.87278,"Bombing-Explosion - Missoula,MT - 1987-04-19",4/19/1987,red
E5894,-122.2041786,47.7192092,"Other - Kirkland,WA - 1998-10-28",10/28/1998,orange
E6037,-122.3305256,47.6026451,"Other - Seattle,WA - 1998-10-30",10/30/1998,yellow
E6041,-122.4832959,47.1941435,"Weapons Acquisition-Storage - Tacoma,WA - 1999-08-07",8/7/1999,orange
E6064,-122.3305256,47.6026451,"Other - Seattle,WA - 1999-05-21",5/21/1999,yellow
E721,-116.780419,47.677755,"Bombing-Explosion - Coeur D&#039;Alene,ID - 1986-09-29",9/29/1986,red
E722,-116.780419,47.677755,"Bombing-Explosion - Coeur D&#039;Alene,ID - 1986-09-29",9/29/1986,red
E723,-116.780419,47.677755,"Bombing-Explosion - Coeur D&#039;Alene,ID - 1986-09-29",9/29/1986,red
E724,-116.780419,47.677755,"Bombing-Explosion - Coeur D&#039;Alene,ID - 1986-09-29",9/29/1986,red
E7971,-71.6510056,42.5356675,"Homicide - Shirley,MA - 2003-08-23",8/23/2003,red
E7879,-123.0236209,44.9370708,"Homicide - Salem,OR - 1992-09-26",9/26/1992,red
E2035,-118.0229274,33.7609702,"Facility-Infrastructure Attack - Westminster,CA - 1993-01-18",1/18/1993,red
E2292,-118.159791,33.88946,"Facility-Infrastructure Attack - Paramount,CA - 1992-12-00",1992-12-00,red
E2804,-118.1339563,33.8536269,"Bombing-Explosion - Lakewood,CA - 1993-01-17",1/17/1993,red
E6048,-118.3140488,33.7349075,"Weapons Acquisition-Storage - San Pedro,CA - 1993-04-28",4/28/1993,yellow
E6049,-118.305879,33.7510841,"Weapons Acquisition-Storage - San Pedro,CA - 1993-05-04",5/4/1993,orange
E6050,-119.4179324,36.778261,"Other - Unknown City,CA - 1993-06-05",6/5/1993,orange
E6051,-119.4179324,36.778261,"Materials Acquisition-Storage - Unknown City,CA - 1993-07-06",7/6/1993,orange
E6052,-119.4179324,36.778261,"Other - Unknown City,CA - 1993-07-06",7/6/1993,orange
E6054,-119.4179324,36.778261,"Other - Unknown City,CA - 1993-04-30",4/30/1993,orange
E6055,-117.9289469,33.6189101,"Weapons Acquisition-Storage - Newport Beach,CA - 1993-06-12",6/12/1993,orange
E6056,-118.2436849,34.0522342,"Other - Los Angeles,CA - 1993-07-08",7/8/1993,orange
E6057,-118.2436849,34.0522342,"Materials Acquisition-Storage - Los Angeles,CA - 1993-07-14",7/14/1993,orange
E6058,-118.2436849,34.0522342,"Weapons Acquisition-Storage - Los Angeles,CA - 1993-07-11",7/11/1993,orange
E6069,-118.2922461,33.7360619,"Materials Acquisition-Storage - San Pedro,CA - 1993-06-22",6/22/1993,orange
E6110,-118.2436849,34.0522342,"Weapons Acquisition-Storage - Los Angeles,CA - 1993-07-14",7/14/1993,orange
E6111,-118.2436849,34.0522342,"Materials Acquisition-Storage - Los Angeles,CA - 1993-07-15",7/15/1993,orange
E6112,-118.2436849,34.0522342,"Weapons Acquisition-Storage - Los Angeles,CA - 1993-07-15",7/15/1993,orange
E6114,-118.2436849,34.0522342,"Materials Acquisition-Storage - Los Angeles,CA - 1993-07-08",7/8/1993,orange
E6116,-118.2436849,34.0522342,"Other - Los Angeles,CA - 1993-04-19",4/19/1993,yellow
E6117,-118.2436849,34.0522342,"Other - Los Angeles,CA - 1993-04-20",4/20/1993,yellow
E6118,-118.2436849,34.0522342,"Other - Los Angeles,CA - 1993-04-24",4/24/1993,yellow
E6119,-118.2436849,34.0522342,"Weapons Acquisition-Storage - Los Angeles,CA - 1993-04-28",4/28/1993,yellow
E6120,-118.305879,33.7510841,"Weapons Acquisition-Storage - San Pedro,CA - 1993-04-29",4/29/1993,yellow
E6121,-118.2800766,33.7402412,"Weapons Acquisition-Storage - San Pedro,CA - 1993-04-29",4/29/1993,yellow
E6122,-118.3140488,33.7349075,"Weapons Acquisition-Storage - San Pedro,CA - 1993-05-03",5/3/1993,orange
E6123,-118.2800766,33.7402412,"Weapons Acquisition-Storage - San Pedro,CA - 1993-05-04",5/4/1993,orange
E6124,-118.2922461,33.7360619,"Weapons Acquisition-Storage - San Pedro,CA - 1993-06-11",6/11/1993,orange
E6125,-118.1937395,33.7700504,"Other - Long Beach,CA - 1993-06-08",6/8/1993,orange
E6126,-117.1892078,34.2483396,"Acquisition of Expertise - Lake Arrowhead,CA - 1993-06-14",6/14/1993,orange
E6127,-117.9939921,33.7513419,"Materials Acquisition-Storage - Westminster,CA - 1993-04-24",4/24/1993,yellow
